Time,Alloy,Scenario,Values
1900.0,Wrought,Baseline,0.0
1900.0,Wrought,Scenario1,0.0
1900.0,Wrought,Scenario2,0.0
1900.0,Wrought,Scenario3,0.0
1900.0,Wrought,Scenario4,0.0
1900.0,Primary castings,Baseline,0.0
1900.0,Primary castings,Scenario1,0.0
1900.0,Primary castings,Scenario2,0.0
1900.0,Primary castings,Scenario3,0.0
1900.0,Primary castings,Scenario4,0.0
1900.0,Secondary castings,Baseline,0.0
1900.0,Secondary castings,Scenario1,0.0
1900.0,Secondary castings,Scenario2,0.0
1900.0,Secondary castings,Scenario3,0.0
1900.0,Secondary castings,Scenario4,0.0
1901.0,Wrought,Baseline,0.0
1901.0,Wrought,Scenario1,0.0
1901.0,Wrought,Scenario2,0.0
1901.0,Wrought,Scenario3,0.0
1901.0,Wrought,Scenario4,0.0
1901.0,Primary castings,Baseline,0.0
1901.0,Primary castings,Scenario1,0.0
1901.0,Primary castings,Scenario2,0.0
1901.0,Primary castings,Scenario3,0.0
1901.0,Primary castings,Scenario4,0.0
1901.0,Secondary castings,Baseline,0.0
1901.0,Secondary castings,Scenario1,0.0
1901.0,Secondary castings,Scenario2,0.0
1901.0,Secondary castings,Scenario3,0.0
1901.0,Secondary castings,Scenario4,0.0
1902.0,Wrought,Baseline,0.0
1902.0,Wrought,Scenario1,0.0
1902.0,Wrought,Scenario2,0.0
1902.0,Wrought,Scenario3,0.0
1902.0,Wrought,Scenario4,0.0
1902.0,Primary castings,Baseline,0.0
1902.0,Primary castings,Scenario1,0.0
1902.0,Primary castings,Scenario2,0.0
1902.0,Primary castings,Scenario3,0.0
1902.0,Primary castings,Scenario4,0.0
1902.0,Secondary castings,Baseline,0.0
1902.0,Secondary castings,Scenario1,0.0
1902.0,Secondary castings,Scenario2,0.0
1902.0,Secondary castings,Scenario3,0.0
1902.0,Secondary castings,Scenario4,0.0
1903.0,Wrought,Baseline,0.0
1903.0,Wrought,Scenario1,0.0
1903.0,Wrought,Scenario2,0.0
1903.0,Wrought,Scenario3,0.0
1903.0,Wrought,Scenario4,0.0
1903.0,Primary castings,Baseline,0.0
1903.0,Primary castings,Scenario1,0.0
1903.0,Primary castings,Scenario2,0.0
1903.0,Primary castings,Scenario3,0.0
1903.0,Primary castings,Scenario4,0.0
1903.0,Secondary castings,Baseline,0.0
1903.0,Secondary castings,Scenario1,0.0
1903.0,Secondary castings,Scenario2,0.0
1903.0,Secondary castings,Scenario3,0.0
1903.0,Secondary castings,Scenario4,0.0
1904.0,Wrought,Baseline,0.0
1904.0,Wrought,Scenario1,0.0
1904.0,Wrought,Scenario2,0.0
1904.0,Wrought,Scenario3,0.0
1904.0,Wrought,Scenario4,0.0
1904.0,Primary castings,Baseline,0.0
1904.0,Primary castings,Scenario1,0.0
1904.0,Primary castings,Scenario2,0.0
1904.0,Primary castings,Scenario3,0.0
1904.0,Primary castings,Scenario4,0.0
1904.0,Secondary castings,Baseline,0.0
1904.0,Secondary castings,Scenario1,0.0
1904.0,Secondary castings,Scenario2,0.0
1904.0,Secondary castings,Scenario3,0.0
1904.0,Secondary castings,Scenario4,0.0
1905.0,Wrought,Baseline,0.0
1905.0,Wrought,Scenario1,0.0
1905.0,Wrought,Scenario2,0.0
1905.0,Wrought,Scenario3,0.0
1905.0,Wrought,Scenario4,0.0
1905.0,Primary castings,Baseline,0.0
1905.0,Primary castings,Scenario1,0.0
1905.0,Primary castings,Scenario2,0.0
1905.0,Primary castings,Scenario3,0.0
1905.0,Primary castings,Scenario4,0.0
1905.0,Secondary castings,Baseline,0.0
1905.0,Secondary castings,Scenario1,0.0
1905.0,Secondary castings,Scenario2,0.0
1905.0,Secondary castings,Scenario3,0.0
1905.0,Secondary castings,Scenario4,0.0
1906.0,Wrought,Baseline,0.0
1906.0,Wrought,Scenario1,0.0
1906.0,Wrought,Scenario2,0.0
1906.0,Wrought,Scenario3,0.0
1906.0,Wrought,Scenario4,0.0
1906.0,Primary castings,Baseline,0.0
1906.0,Primary castings,Scenario1,0.0
1906.0,Primary castings,Scenario2,0.0
1906.0,Primary castings,Scenario3,0.0
1906.0,Primary castings,Scenario4,0.0
1906.0,Secondary castings,Baseline,0.0
1906.0,Secondary castings,Scenario1,0.0
1906.0,Secondary castings,Scenario2,0.0
1906.0,Secondary castings,Scenario3,0.0
1906.0,Secondary castings,Scenario4,0.0
1907.0,Wrought,Baseline,0.0
1907.0,Wrought,Scenario1,0.0
1907.0,Wrought,Scenario2,0.0
1907.0,Wrought,Scenario3,0.0
1907.0,Wrought,Scenario4,0.0
1907.0,Primary castings,Baseline,0.0
1907.0,Primary castings,Scenario1,0.0
1907.0,Primary castings,Scenario2,0.0
1907.0,Primary castings,Scenario3,0.0
1907.0,Primary castings,Scenario4,0.0
1907.0,Secondary castings,Baseline,0.0
1907.0,Secondary castings,Scenario1,0.0
1907.0,Secondary castings,Scenario2,0.0
1907.0,Secondary castings,Scenario3,0.0
1907.0,Secondary castings,Scenario4,0.0
1908.0,Wrought,Baseline,0.0
1908.0,Wrought,Scenario1,0.0
1908.0,Wrought,Scenario2,0.0
1908.0,Wrought,Scenario3,0.0
1908.0,Wrought,Scenario4,0.0
1908.0,Primary castings,Baseline,0.0
1908.0,Primary castings,Scenario1,0.0
1908.0,Primary castings,Scenario2,0.0
1908.0,Primary castings,Scenario3,0.0
1908.0,Primary castings,Scenario4,0.0
1908.0,Secondary castings,Baseline,0.0
1908.0,Secondary castings,Scenario1,0.0
1908.0,Secondary castings,Scenario2,0.0
1908.0,Secondary castings,Scenario3,0.0
1908.0,Secondary castings,Scenario4,0.0
1909.0,Wrought,Baseline,0.0
1909.0,Wrought,Scenario1,0.0
1909.0,Wrought,Scenario2,0.0
1909.0,Wrought,Scenario3,0.0
1909.0,Wrought,Scenario4,0.0
1909.0,Primary castings,Baseline,0.0
1909.0,Primary castings,Scenario1,0.0
1909.0,Primary castings,Scenario2,0.0
1909.0,Primary castings,Scenario3,0.0
1909.0,Primary castings,Scenario4,0.0
1909.0,Secondary castings,Baseline,0.0
1909.0,Secondary castings,Scenario1,0.0
1909.0,Secondary castings,Scenario2,0.0
1909.0,Secondary castings,Scenario3,0.0
1909.0,Secondary castings,Scenario4,0.0
1910.0,Wrought,Baseline,0.0
1910.0,Wrought,Scenario1,0.0
1910.0,Wrought,Scenario2,0.0
1910.0,Wrought,Scenario3,0.0
1910.0,Wrought,Scenario4,0.0
1910.0,Primary castings,Baseline,0.0
1910.0,Primary castings,Scenario1,0.0
1910.0,Primary castings,Scenario2,0.0
1910.0,Primary castings,Scenario3,0.0
1910.0,Primary castings,Scenario4,0.0
1910.0,Secondary castings,Baseline,0.0
1910.0,Secondary castings,Scenario1,0.0
1910.0,Secondary castings,Scenario2,0.0
1910.0,Secondary castings,Scenario3,0.0
1910.0,Secondary castings,Scenario4,0.0
1911.0,Wrought,Baseline,0.0
1911.0,Wrought,Scenario1,0.0
1911.0,Wrought,Scenario2,0.0
1911.0,Wrought,Scenario3,0.0
1911.0,Wrought,Scenario4,0.0
1911.0,Primary castings,Baseline,0.0
1911.0,Primary castings,Scenario1,0.0
1911.0,Primary castings,Scenario2,0.0
1911.0,Primary castings,Scenario3,0.0
1911.0,Primary castings,Scenario4,0.0
1911.0,Secondary castings,Baseline,0.0
1911.0,Secondary castings,Scenario1,0.0
1911.0,Secondary castings,Scenario2,0.0
1911.0,Secondary castings,Scenario3,0.0
1911.0,Secondary castings,Scenario4,0.0
1912.0,Wrought,Baseline,0.0
1912.0,Wrought,Scenario1,0.0
1912.0,Wrought,Scenario2,0.0
1912.0,Wrought,Scenario3,0.0
1912.0,Wrought,Scenario4,0.0
1912.0,Primary castings,Baseline,0.0
1912.0,Primary castings,Scenario1,0.0
1912.0,Primary castings,Scenario2,0.0
1912.0,Primary castings,Scenario3,0.0
1912.0,Primary castings,Scenario4,0.0
1912.0,Secondary castings,Baseline,0.0
1912.0,Secondary castings,Scenario1,0.0
1912.0,Secondary castings,Scenario2,0.0
1912.0,Secondary castings,Scenario3,0.0
1912.0,Secondary castings,Scenario4,0.0
1913.0,Wrought,Baseline,0.0
1913.0,Wrought,Scenario1,0.0
1913.0,Wrought,Scenario2,0.0
1913.0,Wrought,Scenario3,0.0
1913.0,Wrought,Scenario4,0.0
1913.0,Primary castings,Baseline,0.0
1913.0,Primary castings,Scenario1,0.0
1913.0,Primary castings,Scenario2,0.0
1913.0,Primary castings,Scenario3,0.0
1913.0,Primary castings,Scenario4,0.0
1913.0,Secondary castings,Baseline,0.0
1913.0,Secondary castings,Scenario1,0.0
1913.0,Secondary castings,Scenario2,0.0
1913.0,Secondary castings,Scenario3,0.0
1913.0,Secondary castings,Scenario4,0.0
1914.0,Wrought,Baseline,0.0
1914.0,Wrought,Scenario1,0.0
1914.0,Wrought,Scenario2,0.0
1914.0,Wrought,Scenario3,0.0
1914.0,Wrought,Scenario4,0.0
1914.0,Primary castings,Baseline,0.0
1914.0,Primary castings,Scenario1,0.0
1914.0,Primary castings,Scenario2,0.0
1914.0,Primary castings,Scenario3,0.0
1914.0,Primary castings,Scenario4,0.0
1914.0,Secondary castings,Baseline,0.0
1914.0,Secondary castings,Scenario1,0.0
1914.0,Secondary castings,Scenario2,0.0
1914.0,Secondary castings,Scenario3,0.0
1914.0,Secondary castings,Scenario4,0.0
